commit	status	description
9e8265f	startup-failure	attempt=13 exit=1 runtime=346s started_at=2026-04-15 14:39:50 ended_at=2026-04-15 14:45:36 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-13-20260415_143950.log
9e8265f	startup-failure	attempt=14 exit=1 runtime=345s started_at=2026-04-15 14:46:36 ended_at=2026-04-15 14:52:21 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-14-20260415_144636.log
9e8265f	startup-failure	attempt=15 exit=1 runtime=345s started_at=2026-04-15 14:53:21 ended_at=2026-04-15 14:59:06 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-15-20260415_145321.log
9e8265f	startup-failure	attempt=16 exit=1 runtime=345s started_at=2026-04-15 15:00:06 ended_at=2026-04-15 15:05:51 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-16-20260415_150006.log
9e8265f	startup-failure	attempt=17 exit=1 runtime=345s started_at=2026-04-15 15:06:51 ended_at=2026-04-15 15:12:36 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-17-20260415_150651.log
9e8265f	startup-failure	attempt=18 exit=1 runtime=345s started_at=2026-04-15 15:13:36 ended_at=2026-04-15 15:19:21 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-18-20260415_151336.log
9e8265f	startup-failure	attempt=19 exit=1 runtime=360s started_at=2026-04-15 15:20:21 ended_at=2026-04-15 15:26:21 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-19-20260415_152021.log
9e8265f	startup-failure	attempt=20 exit=1 runtime=345s started_at=2026-04-15 15:27:21 ended_at=2026-04-15 15:33:06 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-20-20260415_152721.log
9e8265f	startup-failure	attempt=21 exit=1 runtime=346s started_at=2026-04-15 15:34:06 ended_at=2026-04-15 15:39:52 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-21-20260415_153406.log
9e8265f	startup-failure	attempt=22 exit=1 runtime=345s started_at=2026-04-15 15:40:52 ended_at=2026-04-15 15:46:37 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-22-20260415_154052.log
9e8265f	startup-failure	attempt=23 exit=1 runtime=345s started_at=2026-04-15 15:47:37 ended_at=2026-04-15 15:53:22 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-23-20260415_154737.log
9e8265f	startup-failure	attempt=24 exit=1 runtime=345s started_at=2026-04-15 15:54:22 ended_at=2026-04-15 16:00:07 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-24-20260415_155422.log
9e8265f	startup-failure	attempt=25 exit=1 runtime=345s started_at=2026-04-15 16:01:07 ended_at=2026-04-15 16:06:52 log=/vast/users/qirong.ho/erland/Python_project/Relax/log/amd-qwen3-4b-overnight-attempt-25-20260415_160107.log
